Year,Actress,Character(s),Film
2000,Frances McDormand,Elaine Miller / Sara Gaskell,Almost Famous / Wonder Boys
2001,Jennifer Connelly,Alicia Nash,A Beautiful Mind
2001,Cameron Diaz,Julie Gianni,Vanilla Sky
2001,Marisa Tomei,Natalie Strout,In the Bedroom
2002,Catherine Zeta-Jones,Velma Kelly,Chicago
2002,Kathy Bates,Roberta Hertzel,About Schmidt
2002,Meryl Streep,Susan Orlean,Adaptation.
2003,Renée Zellweger,Ruby Thewes,Cold Mountain
2003,Patricia Clarkson,Joy Burns,Pieces of April
2003,Marcia Gay Harden,Celeste Boyle,Mystic River
2003,Holly Hunter,Melanie Freeland,Thirteen
2003,Scarlett Johansson,Charlotte,Lost in Translation
2004,Virginia Madsen,Maya Randall,Sideways
2004,Cate Blanchett,Katharine Hepburn,The Aviator
2004,Laura Linney,Clara McMillen,Kinsey
2004,Natalie Portman,Alice Ayres / Jane Jones,Closer
2004,Kate Winslet,Sylvia Llewelyn Davies,Finding Neverland
2005,Amy Adams (TIE),Ashley Johnsten,Junebug
2005,Michelle Williams (TIE),Alma Beers Del Mar,Brokeback Mountain
2005,Maria Bello,Edie Stall,A History of Violence
2005,Catherine Keener,Nelle Harper Lee,Capote
2005,Frances McDormand,Glory Dodge,North Country
2005,Rachel Weisz,Tessa Abbott-Quayle,The Constant Gardener
2006,Jennifer Hudson,Effie White,Dreamgirls
2006,Adriana Barraza,Amelia Hernandez,Babel
2006,Rinko Kikuchi,Chieko Wataya,Babel
2006,Cate Blanchett,"Bathsheba ""Sheba"" Hart",Notes on a Scandal
2006,Catherine O'Hara,Marilyn Hack,For Your Consideration
2006,Emma Thompson,Karen Eiffel,Stranger than Fiction
2007,Amy Ryan,Helene McCready,Gone Baby Gone
2007,Cate Blanchett,Jude Quinn,I'm Not There
2007,Catherine Keener,Jan Burres,Into the Wild
2007,Vanessa Redgrave,Older Briony,Atonement
2007,Tilda Swinton,Karen Crowder,Michael Clayton
2008,Kate Winslet,Hanna Schmitz,The Reader
2008,Penélope Cruz,María Elena,Vicky Cristina Barcelona
2008,Viola Davis,Mrs. Miller,Doubt
2008,Vera Farmiga,Erica Van Doren,Nothing but the Truth
2008,Taraji P. Henson,Queenie,The Curious Case of Benjamin Button
2008,Marisa Tomei,Cassidy / Pam,The Wrestler
2009,Mo'Nique,Mary Lee Johnston,Precious
2009,Vera Farmiga,Alex Goran,Up in the Air
2009,Anna Kendrick,Natalie Keener,Up in the Air
2009,Marion Cotillard,Luisa Contini,Nine
2009,Julianne Moore,"Charlotte ""Charley"" Roberts",A Single Man
2009,Samantha Morton,Olivia Pitterson,The Messenger
