Year,Actress,Character,Film
1950,Josephine Hull,Veta Louise Simmons,Harvey
1950,Judy Holliday,Doris Attinger,Adam's Rib
1950,Thelma Ritter,Birdie Kumen,All About Eve
1951,Kim Hunter,Stella Kowalski,A Streetcar Named Desire
1951,Lee Grant,Shoplifter,Detective Story
1951,Thelma Ritter,Ellen McNulty,The Mating Season
1952,Katy Jurado,Helen Ramirez,High Noon
1952,Mildred Dunnock,Señora Espejo,Viva Zapata!
1952,Gloria Grahame,Rosemary Bartlow,The Bad and the Beautiful
1953,Grace Kelly,Linda Nordley,Mogambo
1954,Jan Sterling,Sally McKee,The High and the Mighty
1955,Marisa Pavan,Rosa Delle Rose,The Rose Tattoo
1956,Eileen Heckart,Hortense Daigle,The Bad Seed
1956,Mildred Dunnock,Aunt Rose Comfort,Baby Doll
1956,Marjorie Main,The Widow Hudspeth,Friendly Persuasion
1956,Dorothy Malone,Marylee Hadley,Written on the Wind
1956,Patty McCormack,Rhoda Penmark,The Bad Seed
1957,Elsa Lanchester,Miss Plimsoll,Witness for the Prosecution
1957,Mildred Dunnock,Miss Elsie Thornton,Peyton Place
1957,Hope Lange,Selena Cross,Peyton Place
1957,Heather Sears,Esther Costello,The Story of Esther Costello
1957,Miyoshi Umeki,Katsumi Kelly,Sayonara
1958,Hermione Gingold,Madame Alvarez,Gigi
1958,Peggy Cass,Agnes Gooch,Auntie Mame
1958,Wendy Hiller,Pat Cooper,Separate Tables
1958,Maureen Stapleton,Fay Doyle,Lonelyhearts
1958,Cara Williams,Billy's Mother,The Defiant Ones
1959,Susan Kohner,Sarah Jane (age 18),Imitation of Life
1959,Edith Evans,Rev. Mother Emmanuel (Belgium),The Nun's Story
1959,Estelle Hemsley,Grandma 'Gram' Martin,Take a Giant Step
1959,Juanita Moore,Annie Johnson,Imitation of Life
1959,Shelley Winters,Petronella Van Daan,The Diary of Anne Frank
